Path,Sample,ReferenceGenome,ProviderName,Subject,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:118-Stp-Lc8-3_t07,Pacnes_C1,S506N719,44,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:118-Stp-Lc8-1_t07,Pacnes_C1,S506N717,44,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2016_07_Pool_HV2T3BGXX,F:119-Stp-Lc12-1_t07,Pacnes_C1,S503N713,44,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,A:012-Ext-ccRcBs-4_t00,Pacnes_C1,N724S505,48,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,A:012-Ext-ccRcBs-2_t00,Pacnes_C1,N722S505,48,
/scratch/mit_lieberman/raw_data/2018/Pacnes_biogeo/2015_Pool2/split,A:012-Ext-ccRcBs-1_t00,Pacnes_C1,N721S505,48,
